ID,Betrieb,Feldname,Fläche (ha),Erntejahr,Aussaattermin,Erntedatum,Kultur,realer Ertrag (dt / ha),reale N-Menge (kg N / ha),Unnamed: 11,Unnamed: 12
,Farm 9,Field 350,6.3136,2023.0,2022-10-05 00:00:00,2023-08-10 00:00:00.000,Winterweichweizen,55.687859939593885,105.0,,
,Farm 9,Field 351,9.01,2021.0,2020-08-25 00:00:00,,Winterraps,40.26695378761084,240.0,,
,Farm 9,Field 351,9.01,2020.0,2019-10-27 00:00:00,2020-08-07 00:00:00.000,Winterweichweizen,57.95705185271725,187.0,,
,Farm 9,Field 351,4.36,2019.0,2019-04-18 00:00:00,2019-11-27 00:00:00.000,Silomais,421.961009174312,166.0,,
,Farm 9,Field 352,2.56,2019.0,2019-04-18 00:00:00,2019-11-26 00:00:00.000,Silomais,503.7109375,161.0,,
,Farm 9,Field 353,5.95,2023.0,2022-10-05 00:00:00,2023-08-10 00:00:00.000,Winterweichweizen,60.55498904123051,201.0,,
,Farm 9,Field 353,3.87,2020.0,2019-09-25 00:00:00,2020-07-13 00:00:00.000,Wintergerste,82.96941398068813,169.0,,
,Farm 9,Field 353,3.87,2021.0,2020-10-03 00:00:00,2021-07-19 00:00:00.000,Wintergerste,76.57727609290237,201.0,,
,Farm 9,Field 354,2.61,2019.0,2019-04-18 00:00:00,2019-11-25 00:00:00.000,Silomais,464.080459770115,164.0,,
,Farm 9,Field 354,2.61,2018.0,2017-09-28 00:00:00,2018-07-10 00:00:00.000,Wintergerste,39.770114942528735,162.0,,
,Farm 9,Field 355,1.26,2019.0,2019-04-18 00:00:00,2019-11-25 00:00:00.000,Silomais,446.031746031746,161.0,,
,Farm 9,Field 355,1.26,2018.0,2017-09-28 00:00:00,2018-07-10 00:00:00.000,Wintergerste,39.76984126984127,165.0,,
,Farm 9,Field 356,8.8686,2023.0,2022-09-22 00:00:00,2023-07-11 00:00:00.000,Wintergerste,82.792958480363,186.0,,
,Farm 9,Field 357,31.82,2020.0,2020-04-24 00:00:00,2020-10-06 00:00:00.000,Silomais,500.007228158391,274.0,,
,Farm 9,Field 357,31.82,2019.0,2018-09-19 00:00:00,2019-07-17 00:00:00.000,Wintergerste,98.92771841609051,200.0,,
,Farm 9,Field 357,31.82,2018.0,2018-04-30 00:00:00,2018-09-29 00:00:00.000,Silomais,460.829666876178,222.0,,
,Farm 9,Field 357,31.82,2021.0,2020-10-10 00:00:00,2020-08-24 00:00:00.000,Winterweichweizen,85.26418875546292,276.0,,
,Farm 9,Field 358,4.86,2020.0,2019-09-19 00:00:00,2020-07-14 00:00:00.000,Wintergerste,92.71432891728634,169.0,,
,Farm 9,Field 358,4.87,2019.0,2018-10-08 00:00:00,2019-08-26 00:00:00.000,Winterweichweizen,75.0,188.0,,
,Farm 9,Field 358,4.86,2021.0,2020-08-23 00:00:00,2021-07-29 00:00:00.000,Winterraps,41.70953562384117,222.0,,
,Farm 9,Field 359,4.19,2020.0,2019-09-19 00:00:00,2020-07-14 00:00:00.000,Wintergerste,79.43302097726416,165.0,,
,Farm 9,Field 359,4.19,2019.0,2018-10-08 00:00:00,2019-07-27 00:00:00.000,Winterweichweizen,86.07159904534605,182.0,,
,Farm 9,Field 359,4.19,2021.0,2020-08-23 00:00:00,2021-07-29 00:00:00.000,Winterraps,38.81099677410895,222.0,,
,Farm 9,Field 359,12.414,2023.0,2022-09-21 00:00:00,2023-07-09 00:00:00.000,Wintergerste,77.15207184493643,176.0,,
,Farm 9,Field 360,17.4,2021.0,2020-09-01 00:00:00,2021-08-03 00:00:00.000,Winterraps,33.41146217948718,235.0,,
,Farm 9,Field 360,17.4,2020.0,2019-09-27 00:00:00,2020-08-05 00:00:00.000,Winterweichweizen,86.40438344424281,211.0,,
,Farm 9,Field 361,10.84,2019.0,2018-10-01 00:00:00,2019-08-11 00:00:00.000,Winterweichweizen,86.64114391143912,223.0,,
,Farm 9,Field 361,10.56,2018.0,2017-08-28 00:00:00,2018-08-01 00:00:00.000,Winterraps,28.081439393939394,256.0,,
,Farm 9,Field 361,10.8385,2023.0,2022-08-22 00:00:00,2023-08-05 00:00:00.000,Winterraps,32.19938913326376,184.0,,
,Farm 9,Field 362,20.7625,2023.0,2022-10-05 00:00:00,2023-08-03 09:36:00.000,Winterweichweizen,81.24795493449658,198.0,,
,Farm 9,Field 363,3.66,2020.0,2019-09-22 00:00:00,2020-07-17 00:00:00.000,Wintergerste,79.90112954973957,192.0,,
,Farm 9,Field 363,3.67,2019.0,2018-10-06 00:00:00,2019-07-26 00:00:00.000,Winterweichweizen,77.92370572207085,201.0,,
